Team,Turnover %,Get fouled rate,2 pt rate,2 pt percentage,3 pt rate,3 pt percentage,Dreb percentage,Oreb percentage,Ft percentage,Poss/Game,ORTG,DRTG,Opponent DRTG
Providence,0.162,0.244,0.595,0.553,0.405,0.364,0.722,0.296,0.757,76.2,121.3,109.1,103.1
Purdue,0.134,0.251,0.598,0.577,0.402,0.383,0.743,0.35,0.746,66.6,131.6,100.5,102.7
Purdue FW,0.142,0.228,0.546,0.537,0.454,0.341,0.673,0.203,0.707,70.7,105.4,113.2,112.4
Queens,0.144,0.254,0.535,0.589,0.465,0.357,0.693,0.284,0.749,72.9,115.8,117.6,114
Quinnipiac,0.156,0.229,0.663,0.467,0.337,0.34,0.694,0.33,0.691,71.5,104.4,108.5,111.6
Radford,0.166,0.272,0.546,0.523,0.454,0.335,0.705,0.265,0.71,75.8,106.4,114,113.1
Rhode Island,0.187,0.273,0.565,0.528,0.435,0.311,0.709,0.295,0.721,68.2,106.1,103.4,108.7
Rice,0.172,0.249,0.559,0.462,0.441,0.343,0.693,0.336,0.681,70.4,108.9,113.8,109
Richmond,0.14,0.255,0.574,0.506,0.426,0.369,0.707,0.229,0.747,70.1,111.6,110.5,109.3
Rider,0.165,0.23,0.725,0.433,0.275,0.277,0.682,0.309,0.701,67.2,95.9,120.1,110.6
Robert Morris,0.182,0.243,0.593,0.535,0.407,0.38,0.724,0.367,0.694,68.7,110.8,109.1,113.7
Rutgers,0.146,0.259,0.658,0.465,0.342,0.324,0.703,0.283,0.741,69.2,110.2,106.5,104
S Alabama,0.127,0.243,0.635,0.532,0.365,0.345,0.698,0.219,0.655,68.7,107.2,110.1,112.1
S Carolina St,0.203,0.27,0.667,0.448,0.333,0.34,0.632,0.293,0.668,71.8,95.3,118.7,112.9
S Dakota St,0.158,0.243,0.612,0.527,0.388,0.34,0.765,0.282,0.72,69.6,108,112.6,111.1
S Florida,0.146,0.254,0.562,0.52,0.438,0.325,0.709,0.358,0.746,77.1,117.6,100.7,107.8
S Illinois,0.166,0.233,0.708,0.522,0.292,0.278,0.756,0.296,0.683,72.4,103.7,99.4,108.4
S Indiana,0.166,0.249,0.603,0.43,0.397,0.299,0.686,0.286,0.666,71.3,95.5,114.3,112.1
S Utah,0.198,0.241,0.645,0.514,0.355,0.33,0.682,0.264,0.715,72.9,106.6,113.8,106.7
Sacramento St,0.138,0.258,0.644,0.466,0.356,0.319,0.69,0.239,0.781,74,105.9,114.4,109.4
Sacred Heart,0.173,0.222,0.493,0.504,0.507,0.357,0.702,0.266,0.78,70.1,107.4,118.8,111.7
Saint Joseph's,0.164,0.212,0.549,0.517,0.451,0.308,0.716,0.297,0.738,70.1,107.8,102.1,107.3
Saint Louis,0.169,0.224,0.549,0.595,0.451,0.399,0.746,0.288,0.741,73.6,120.3,100.8,107.4
Saint Mary's,0.164,0.267,0.636,0.498,0.364,0.387,0.787,0.363,0.803,67.7,119.2,97.3,106.6
Saint Peter's,0.173,0.263,0.613,0.462,0.387,0.31,0.666,0.359,0.736,67.7,103.2,110.5,112
Sam Houston,0.163,0.238,0.642,0.506,0.358,0.372,0.72,0.33,0.716,72.7,113.9,108.6,109.6
Samford,0.131,0.28,0.543,0.528,0.457,0.356,0.758,0.224,0.692,70.9,109.8,113.6,114
San Diego,0.172,0.227,0.563,0.508,0.437,0.346,0.66,0.259,0.747,70.9,108.2,113.4,107.6
San Diego St,0.169,0.249,0.662,0.532,0.338,0.345,0.708,0.283,0.73,72,113.7,96.9,105.6
San Francisco,0.153,0.279,0.539,0.507,0.461,0.346,0.746,0.298,0.709,69.2,113.7,109.7,107
San Jose St,0.148,0.245,0.617,0.476,0.383,0.353,0.65,0.274,0.738,67.4,112.5,117.2,105.7
Santa Clara,0.151,0.218,0.55,0.561,0.45,0.349,0.695,0.346,0.744,71.3,123.8,104.7,105.7
SC Upstate,0.177,0.241,0.644,0.489,0.356,0.314,0.704,0.26,0.681,72.3,99.2,111.4,111.7
SE Louisiana,0.18,0.271,0.605,0.494,0.395,0.284,0.706,0.269,0.684,67.3,99.8,110.3,109
SE Missouri St,0.166,0.256,0.64,0.518,0.36,0.309,0.729,0.283,0.695,71.2,102.2,108.2,112.3
Seattle,0.164,0.247,0.606,0.493,0.394,0.337,0.714,0.22,0.706,70.7,102.6,97.4,109.2
Seton Hall,0.162,0.256,0.732,0.483,0.268,0.305,0.709,0.335,0.723,68.3,110.8,94.7,104.9
SF Austin,0.138,0.225,0.602,0.504,0.398,0.358,0.734,0.318,0.686,68.4,112.7,104.1,109.7
Siena,0.155,0.249,0.678,0.525,0.322,0.306,0.715,0.302,0.771,65.8,107.8,108.9,112.2
SIU Edward,0.174,0.224,0.638,0.478,0.362,0.35,0.711,0.28,0.671,68.1,99.5,107.2,113.4
SMU,0.152,0.235,0.641,0.556,0.359,0.371,0.716,0.328,0.743,73.2,122.7,105.9,105.1
South Carolina,0.141,0.247,0.556,0.532,0.444,0.311,0.69,0.251,0.781,70.2,112.7,105.1,105.9
South Dakota,0.162,0.278,0.641,0.507,0.359,0.323,0.712,0.262,0.742,74.1,104.3,114.8,112.9
Southern,0.162,0.258,0.678,0.478,0.322,0.347,0.701,0.295,0.695,73.7,104.9,114.4,111.5
Southern Miss,0.18,0.268,0.713,0.513,0.287,0.289,0.728,0.308,0.736,71.7,105.3,109.6,111
St Bonaventure,0.165,0.229,0.687,0.508,0.313,0.374,0.722,0.32,0.747,69.8,113.9,111.5,107.8
St Francis PA,0.18,0.234,0.622,0.475,0.378,0.342,0.681,0.249,0.695,71.8,99.6,121.9,111.9
St John's,0.14,0.273,0.648,0.515,0.352,0.335,0.734,0.329,0.722,73,121,93.9,102.8
St Thomas,0.141,0.245,0.537,0.63,0.463,0.36,0.755,0.202,0.687,71.1,112.9,108,112.7
Stanford,0.151,0.261,0.56,0.505,0.44,0.352,0.723,0.301,0.732,69.8,117,104.2,104.9
Stetson,0.178,0.237,0.553,0.525,0.447,0.36,0.692,0.248,0.692,69.4,105.3,117.8,112.6
Stonehill,0.19,0.212,0.595,0.465,0.405,0.317,0.756,0.259,0.685,69.3,91.8,109.1,113.5
Stony Brook,0.163,0.227,0.542,0.485,0.458,0.348,0.703,0.246,0.723,69.5,105.2,110.9,110
Syracuse,0.155,0.255,0.628,0.546,0.372,0.329,0.69,0.262,0.648,71.1,114.5,105.2,104
Tarleton St,0.195,0.276,0.758,0.482,0.242,0.325,0.659,0.283,0.742,73,104.3,108.8,107.3
TCU,0.149,0.259,0.632,0.508,0.368,0.332,0.732,0.32,0.704,72,115,97.6,103.9
Temple,0.133,0.27,0.643,0.5,0.357,0.336,0.733,0.262,0.747,67.9,112,111.2,109.1
Tenn Tech,0.187,0.237,0.635,0.501,0.365,0.311,0.698,0.286,0.762,69.7,102.5,116,111.3
Tennessee,0.169,0.266,0.679,0.52,0.321,0.334,0.755,0.441,0.691,70,121.4,94.4,103.5
Tennessee St,0.162,0.229,0.693,0.5,0.307,0.333,0.721,0.323,0.76,73.1,109.2,111.3,111.3
Texas,0.147,0.295,0.642,0.548,0.358,0.351,0.763,0.341,0.744,70.3,124.9,104.4,103.3
Texas A&M,0.144,0.245,0.538,0.538,0.462,0.359,0.684,0.296,0.738,75.3,119.4,100.7,105.3
Texas A&M-CC,0.189,0.27,0.686,0.481,0.314,0.35,0.731,0.282,0.674,68.7,104.9,105.2,109
Texas So,0.182,0.245,0.675,0.498,0.325,0.331,0.71,0.273,0.719,73.4,101.9,115.1,112.6
Texas St,0.182,0.228,0.754,0.505,0.246,0.322,0.742,0.321,0.762,69.9,104.1,110.7,112.4
Texas Tech,0.154,0.233,0.524,0.539,0.476,0.391,0.711,0.321,0.715,69.7,124.9,100.4,102.9
The Citadel,0.159,0.227,0.522,0.51,0.478,0.32,0.697,0.26,0.665,67.7,100.8,120.9,113.7
Toledo,0.144,0.235,0.675,0.54,0.325,0.37,0.672,0.271,0.752,71,114.5,111.5,110.8
Towson,0.155,0.225,0.651,0.478,0.349,0.294,0.725,0.348,0.689,65.9,105.8,105,110.2
Troy,0.168,0.237,0.541,0.532,0.459,0.33,0.699,0.326,0.742,71.4,110.4,109.2,110.6
Tulane,0.15,0.26,0.55,0.505,0.45,0.32,0.664,0.192,0.767,70.5,107.9,111.3,108.1
Tulsa,0.151,0.261,0.532,0.532,0.468,0.389,0.731,0.304,0.78,71.7,120.5,106.8,108.2
UAB,0.122,0.237,0.695,0.513,0.305,0.278,0.747,0.301,0.706,73.2,110.2,106.4,109.5
UC Davis,0.175,0.274,0.565,0.519,0.435,0.344,0.709,0.225,0.753,73.4,108,107.3,108.7
UC Irvine,0.173,0.248,0.72,0.491,0.28,0.336,0.712,0.289,0.697,73.4,104.6,98.9,109.5
UC Riverside,0.186,0.24,0.617,0.499,0.383,0.316,0.719,0.258,0.742,72.6,104,111.9,108.1
UCF,0.156,0.236,0.652,0.517,0.348,0.362,0.729,0.331,0.729,72.9,120,105.1,103.3
UCLA,0.131,0.261,0.645,0.514,0.355,0.379,0.687,0.288,0.763,68.1,122.8,101.6,103.8
UConn,0.162,0.25,0.597,0.572,0.403,0.346,0.742,0.339,0.719,68,122.9,93.7,102.8
UCSB,0.183,0.256,0.559,0.536,0.441,0.374,0.772,0.298,0.775,69.7,113.8,110.8,108.7
UCSD,0.161,0.225,0.577,0.55,0.423,0.328,0.748,0.238,0.693,71.3,107.8,103.5,109.2
UL Monroe,0.165,0.258,0.581,0.474,0.419,0.322,0.651,0.221,0.727,72.9,101.3,122.4,110.5
UMass,0.174,0.256,0.646,0.532,0.354,0.352,0.765,0.314,0.673,74.5,108.7,111.5,111.7
UMass Lowell,0.176,0.231,0.687,0.505,0.313,0.322,0.726,0.304,0.657,70.6,102.6,117.3,113.1
UMBC,0.138,0.23,0.612,0.541,0.388,0.361,0.763,0.226,0.76,68.3,108.9,110.8,115.3
UNLV,0.167,0.268,0.636,0.54,0.364,0.352,0.71,0.291,0.677,72.9,114.9,108.5,105.6
USC,0.17,0.278,0.659,0.518,0.341,0.317,0.697,0.304,0.726,74.1,113.8,102.8,104.3
UT Arlington,0.202,0.264,0.693,0.488,0.307,0.291,0.735,0.331,0.723,69.2,102.7,101.6,108.5
UT Martin,0.209,0.259,0.529,0.515,0.471,0.303,0.701,0.357,0.677,67.9,100.5,105.4,111.9
UT Rio Grande,0.179,0.227,0.563,0.545,0.437,0.368,0.71,0.26,0.763,69.2,111.1,106.5,109.2
Utah,0.163,0.222,0.625,0.515,0.375,0.353,0.709,0.265,0.738,70.3,114.7,111.2,103.7
Utah St,0.147,0.26,0.592,0.596,0.408,0.343,0.694,0.308,0.71,70.3,123,101.4,105
Utah Tech,0.173,0.232,0.618,0.537,0.382,0.35,0.674,0.265,0.726,71.3,111,112.9,106.9
Utah Valley,0.196,0.26,0.671,0.569,0.329,0.34,0.722,0.326,0.685,72,112.9,104.3,107.6
UTEP,0.17,0.228,0.597,0.465,0.403,0.339,0.684,0.245,0.704,67.9,101,110.4,109.1
UTSA,0.17,0.215,0.587,0.455,0.413,0.292,0.627,0.272,0.698,71.6,99.9,118.2,108.4
Valparaiso,0.152,0.277,0.632,0.458,0.368,0.339,0.725,0.303,0.709,69.5,108,107.4,108.8
Vanderbilt,0.131,0.262,0.558,0.569,0.442,0.356,0.716,0.29,0.789,72.8,127.1,99.8,103.2
VCU,0.147,0.278,0.562,0.53,0.438,0.363,0.732,0.306,0.736,71.3,119.2,101.8,106.5
Vermont,0.141,0.248,0.554,0.557,0.446,0.333,0.796,0.243,0.719,66.5,106.2,112.6,114.1
Villanova,0.147,0.239,0.543,0.54,0.457,0.357,0.699,0.3,0.689,69.1,120.7,100.7,104.3
Virginia,0.155,0.25,0.533,0.549,0.467,0.362,0.735,0.368,0.728,69.5,122.8,97.1,105.6
Virginia Tech,0.146,0.252,0.603,0.515,0.397,0.355,0.695,0.306,0.743,71.4,117.1,103.8,105.6
VMI,0.149,0.233,0.464,0.479,0.536,0.315,0.646,0.234,0.722,69.4,98.7,124.9,114.1
W Carolina,0.164,0.221,0.591,0.506,0.409,0.335,0.757,0.333,0.714,71.1,109.3,114.8,112.8
W Georgia,0.154,0.233,0.67,0.496,0.33,0.331,0.743,0.293,0.704,73,101.6,114.3,115.5
W Illinois,0.172,0.249,0.667,0.435,0.333,0.309,0.655,0.244,0.662,68.7,92.9,121.5,111.5
W Kentucky,0.141,0.255,0.606,0.458,0.394,0.334,0.738,0.295,0.757,73.7,108.8,108.5,110.4
W Michigan,0.164,0.24,0.639,0.481,0.361,0.353,0.733,0.277,0.744,71.3,107.8,117.1,110
Wagner,0.181,0.242,0.638,0.467,0.362,0.365,0.724,0.305,0.726,68.1,102.6,115.3,112.4
Wake Forest,0.152,0.252,0.564,0.539,0.436,0.341,0.685,0.282,0.776,71.7,116.9,106.4,105.2
Washington,0.15,0.232,0.654,0.534,0.346,0.315,0.742,0.331,0.764,70.3,117.5,102.2,104.9
Washington St,0.18,0.234,0.552,0.546,0.448,0.365,0.743,0.272,0.745,70.5,114,111.9,106.1
Weber St,0.154,0.26,0.672,0.516,0.328,0.345,0.745,0.299,0.729,72.3,111.5,114.4,110.6
West Virginia,0.168,0.243,0.575,0.529,0.425,0.323,0.73,0.292,0.684,66.6,110.4,97,105.1
Wichita St,0.145,0.251,0.662,0.49,0.338,0.335,0.749,0.372,0.692,71.4,113.1,101.5,108.6
William & Mary,0.162,0.279,0.572,0.579,0.428,0.33,0.695,0.239,0.749,75,111,109.7,110.6
Winthrop,0.143,0.31,0.559,0.497,0.441,0.332,0.748,0.322,0.729,74.1,111.8,110.5,111.7
Wisconsin,0.125,0.242,0.479,0.547,0.521,0.362,0.734,0.27,0.788,71.5,125.2,102.1,103.6
Wofford,0.131,0.244,0.569,0.525,0.431,0.35,0.733,0.282,0.709,70.2,109.3,116.5,115.7
Wright St,0.157,0.26,0.658,0.542,0.342,0.364,0.726,0.308,0.747,70.8,112.6,110.2,113.3
Wyoming,0.159,0.265,0.57,0.536,0.43,0.33,0.746,0.326,0.743,69.2,114.9,107.1,107.6
Xavier,0.136,0.213,0.594,0.498,0.406,0.365,0.735,0.244,0.729,73.5,117.1,109.3,102.7
Yale,0.137,0.265,0.639,0.536,0.361,0.394,0.725,0.321,0.746,67.9,120.2,110.2,110.3
Youngstown St,0.184,0.237,0.505,0.566,0.495,0.337,0.712,0.287,0.733,70.4,105.6,109.5,113.5
