Team,Turnover %,Get fouled rate,2 pt rate,2 pt percentage,3 pt rate,3 pt percentage,Dreb percentage,Oreb percentage,Ft percentage,Poss/Game,ORTG,DRTG,Opponent DRTG
Colorado St,0.182,0.285,0.509,0.571,0.491,0.386,0.715,0.279,0.77,65.6,118.6,109.3,107.1
Columbia,0.188,0.224,0.625,0.532,0.375,0.359,0.746,0.325,0.701,69.8,108.5,110.7,111.9
Coppin St,0.217,0.253,0.648,0.458,0.352,0.307,0.669,0.276,0.672,71,92.2,119.6,112
Cornell,0.156,0.24,0.484,0.597,0.516,0.383,0.716,0.283,0.74,73.6,119.9,119.6,109.9
Creighton,0.162,0.232,0.518,0.546,0.482,0.344,0.715,0.256,0.763,70.3,116.3,104.6,103
CS Bakersfield,0.183,0.258,0.711,0.466,0.289,0.29,0.676,0.284,0.738,74.8,101.9,117.4,107.8
CS Fullerton,0.148,0.257,0.569,0.514,0.431,0.342,0.744,0.216,0.716,77.3,109.3,109.3,108.4
CS Northridge,0.17,0.238,0.664,0.526,0.336,0.324,0.755,0.288,0.668,77.9,108.9,109.6,108.3
Dartmouth,0.173,0.255,0.513,0.494,0.487,0.361,0.723,0.219,0.742,71.1,104.8,114.3,111
Davidson,0.155,0.249,0.555,0.522,0.445,0.354,0.719,0.265,0.639,66.3,110,104.5,107.5
Dayton,0.166,0.288,0.586,0.521,0.414,0.339,0.737,0.25,0.754,69.7,111.7,99.6,107
Delaware,0.179,0.222,0.538,0.517,0.462,0.368,0.7,0.183,0.786,66.5,104.6,115.7,110.3
Delaware St,0.195,0.237,0.711,0.431,0.289,0.284,0.688,0.256,0.689,67.9,87.2,114.3,114.1
Denver,0.14,0.261,0.614,0.526,0.386,0.368,0.697,0.287,0.771,70.9,116.1,122.3,110.9
DePaul,0.173,0.25,0.609,0.505,0.391,0.325,0.716,0.284,0.692,69.4,107.5,100.2,105.4
Detroit Mercy,0.157,0.248,0.693,0.481,0.307,0.351,0.71,0.317,0.789,71.4,108,112.2,112.2
Drake,0.147,0.246,0.543,0.517,0.457,0.34,0.702,0.242,0.714,69.8,109.8,112.8,107.7
Drexel,0.185,0.248,0.6,0.49,0.4,0.355,0.719,0.295,0.665,67,102.4,107.2,111
Duke,0.156,0.265,0.564,0.602,0.436,0.347,0.774,0.368,0.729,68.4,128,90.7,102.7
Duquesne,0.173,0.248,0.556,0.545,0.444,0.331,0.717,0.285,0.715,71.9,111,107.2,107.9
E Carolina,0.166,0.258,0.689,0.475,0.311,0.293,0.69,0.302,0.7,72.1,103.9,111,110
E Illinois,0.181,0.235,0.701,0.449,0.299,0.317,0.666,0.256,0.744,68.7,96.9,111.9,110.9
E Kentucky,0.165,0.232,0.492,0.516,0.508,0.35,0.699,0.316,0.724,71.4,109.2,120.9,113
E Michigan,0.17,0.225,0.682,0.5,0.318,0.324,0.728,0.254,0.732,70.5,101.9,108.5,110.4
E Tennessee St,0.149,0.227,0.622,0.572,0.378,0.347,0.744,0.272,0.747,68.4,109.8,109.2,114.8
E Texas A&M,0.188,0.216,0.538,0.512,0.462,0.313,0.686,0.231,0.679,70,100.8,111.6,109
E Washington,0.173,0.267,0.653,0.536,0.347,0.359,0.72,0.289,0.743,71.1,113.1,113.3,109.4
Elon,0.156,0.244,0.568,0.528,0.432,0.343,0.685,0.314,0.714,70.7,110.1,116,111
Evansville,0.187,0.236,0.569,0.499,0.431,0.322,0.71,0.203,0.736,69.3,101.8,115,106.7
F Dickinson,0.176,0.26,0.548,0.486,0.452,0.303,0.751,0.292,0.701,66.3,100.9,118.5,112
Fairfield,0.15,0.232,0.646,0.482,0.354,0.332,0.729,0.346,0.705,69,106,113.9,112.5
FGCU,0.155,0.228,0.616,0.533,0.384,0.332,0.747,0.288,0.721,72,105.7,112.3,114
Florida,0.16,0.267,0.63,0.585,0.37,0.312,0.776,0.43,0.712,73.8,126,92.4,103.6
Florida A&M,0.21,0.251,0.623,0.494,0.377,0.326,0.712,0.292,0.703,72.3,98.1,111,112.8
Florida Atlantic,0.172,0.237,0.618,0.536,0.382,0.333,0.743,0.302,0.703,72.8,110,106.4,108.1
Florida Intl,0.172,0.246,0.673,0.499,0.327,0.347,0.684,0.322,0.694,74.6,107.6,109.6,110.1
Florida St,0.149,0.244,0.494,0.551,0.506,0.331,0.671,0.293,0.713,73.3,118.2,105.1,104.3
Fordham,0.168,0.242,0.617,0.519,0.383,0.289,0.752,0.333,0.702,66.2,104.9,104.2,110.1
Fresno St,0.178,0.255,0.591,0.523,0.409,0.321,0.708,0.253,0.751,70.8,107.7,104.4,107.5
Furman,0.174,0.248,0.535,0.588,0.465,0.334,0.736,0.29,0.701,68.7,108.1,109.6,114.1
G Washington,0.178,0.237,0.53,0.559,0.47,0.351,0.726,0.346,0.723,71.5,117.4,108,107.3
Gardner-Webb,0.194,0.211,0.602,0.486,0.398,0.31,0.638,0.207,0.685,72.2,95.7,122,109.9
George Mason,0.154,0.285,0.648,0.543,0.352,0.333,0.74,0.291,0.725,66.3,113.1,106,109.6
Georgetown,0.154,0.253,0.648,0.507,0.352,0.318,0.707,0.314,0.74,69.3,114.9,103.6,103.4
Georgia,0.139,0.246,0.557,0.57,0.443,0.338,0.677,0.325,0.75,76.7,124.1,104.8,105.1
